DirectorID,DirectorName,openn_m5u,consc_m5u,extra_m5u,agree_m5u,neuro_m5u
522,"John Mack",5.6019444,6.1373787,5.6311078,3.159327,2.121176
1722,"Frank Raines",4.7860656,4.8861356,4.582962,3.3352759,3.2219431
3997,"Stefano Pessina",5.407743,5.7116752,5.3712726,4.8834205,2.723129
5291,"Reuben Mark",4.7557402,5.2378373,5.0036025,4.2942133,3.2895224
6080,"George David",3.9262226,4.6533217,4.6396785,3.6948133,3.2788506
7588,"Harold Hughes Jr",4.9349065,5.1035376,5.1039481,4.8615613,3.1387281
13271,"David Crane",4.3213987,5.6215062,5.8630528,2.0311034,4.5227332
13413,"Richard Fain",4.7133203,5.170187,4.6867061,4.18924,3.4609354
13520,"Rich Templeton",4.5450249,5.1271276,5.3653293,4.4277978,3.2480404
13744,"Lars Nyberg",4.847043,5.1158814,5.11902,4.0839825,3.0349135
14803,"Tom Richards",3.8334246,4.5386243,3.1760874,3.155936,4.9451647
15482,"Professor Bill George",4.4447203,5.3070941,4.6024837,3.8154659,3.5261691
16457,"Bob Iger",5.5439305,5.8241925,6.3129315,4.6319065,1.7971283
16572,"Michael Eisner",5.1642385,4.9194469,4.7013192,3.9172719,3.2393277
17166,"Larry Weinbach",4.462914,5.071702,4.6280851,3.6377316,3.7252862
23476,"Philippe Dauman",4.5405416,5.2022457,2.2126644,6.9524961,4.8941736
23538,"Mel Karmazin",4.9311185,4.7208548,5.6422019,3.4903378,2.9393039
24985,"Tim Solso",3.9108727,4.5208683,4.637835,3.130821,4.0486803
25011,"Ivan Seidenberg",4.6162639,4.7779536,5.0517263,3.9244103,3.7270117
25014,"Bob Walter",5.0333114,5.2744842,5.4038105,4.7132559,3.3610015
25015,"George Conrades",5.2687168,5.0722566,5.3859906,4.6232147,3.3089528
25834,"Richard Manoogian",4.5062981,5.1424503,4.9412618,3.8854182,3.4705687
25920,"Matt Emmens",5.399868,5.6556067,5.498776,5.033761,2.7020035
26182,"Andrew Gould",4.0689549,4.8452158,4.0592813,3.7512233,3.9806218
27126,"Bob Benmosche",4.7246284,5.2328877,4.7637172,3.5397027,3.4452324
27496,"Micky Arison",4.7400298,5.0825844,4.5294447,3.8867707,3.4463334
31203,"Bobby Mullin",4.3131223,5.2122355,5.1718717,3.9465353,3.1676869
31204,"Henry Schacht",4.2709241,5.0114694,3.617394,4.034904,2.8363447
31208,"The Hon. Doctor John Snow",4.2947001,4.9486876,3.7003536,3.6458864,3.6558056
31463,"Sandy Weill",4.5700793,5.2758312,4.5962038,3.7431667,3.6497347
31506,"Bill Harrison Jr",4.5625811,5.3488884,5.0364237,3.6995525,2.9705873
31546,"Dick Clark",4.142941,4.0774345,3.2916098,3.7170663,2.7608304
31612,"David Glass",2.8034358,3.4040298,3.7735591,3.8961122,1.1908942
31670,"John Chambers",5.4174376,5.0200167,5.6965094,4.5179687,3.0292015
31736,"Rick Belluzzo",4.9165411,5.0750804,5.0009618,5.1965804,3.0343113
31802,"Jeff Kindler",6.7336245,5.8946924,7,7,1
31844,"Kevin Johnson",5.2699947,4.8080401,5.4902506,4.6133013,3.0077949
32019,"Doctor Lee Raymond",4.4393883,5.5735259,4.7273469,3.479718,2.9707675
32122,"Rex Tillerson",1.7375202,5.7942328,1.2255161,1,4.3453345
32185,"Mark Ketchum",4.8336916,5.3911662,5.2942896,4.4238205,3.1380048
32193,"Jay Fishman",4.6375976,5.7650614,7,4.4636459,1.7448565
32276,"Chuck Lee",4.7373877,5.4965515,4.5773625,4.7449608,3.6446743
32367,"Jeff Immelt",5.9032192,5.2134571,7,4.1714902,1.4404124
32457,"Frank Blake",6.1795783,5.6934743,5.895103,5.9468131,2.3837953
32458,"Dave Calhoun",5.0557199,5.4302421,5.7006721,4.506866,2.9282355
32459,"Scott Donnelly",4.0184183,4.759676,4.6259193,3.7785261,3.744487
32557,"Ken Chenault",5.0243907,4.9297762,5.7534308,5.0919333,1.8509759
32603,"Mike Dell",4.8753662,3.9433022,5.9789724,5.3899922,3.7547302
32663,"Sidney Taurel",5.3587799,5.9495602,5.4048624,5.4808421,2.2943907
32693,"Bob McDonald",4.7496996,5.1300898,4.0342393,3.5620999,3.6999929
32720,"Martin Sullivan",4.8115354,5.3797774,5.0467963,3.9454215,3.2550976
32730,"Roger Deromedi",4.8159075,5.5998874,5.48773,4.6371555,3.3356121
32734,"Bob Eckert",5.9753532,5.1236515,6.6324368,6.11692,1.7035886
32757,"Mike Szymanczyk",4.9459157,5.4024796,4.9084172,3.9517241,2.727591
32800,"Carol Bartz",4.9644809,5.0416269,5.413846,4.1666999,3.0545721
32817,"Jim Morgan",4.410502,5.0558105,4.9741879,4.1071162,3.1272075
32835,"Doctor Don Listwin",5.1401277,5.1442499,4.9877315,5.0194039,3.1756744
33012,"August Busch III",4.7481389,5.0163393,5.1899457,4.0573006,3.798682
33015,"John Stumpf",5.3184781,6.2327828,4.0845003,1.5361772,4.179028
33049,"Ari Bousbib",4.5752063,4.8998446,4.8257642,4.0716195,3.7832272
33138,"Dave O'Reilly",4.5494971,5.6017509,4.23734,3.8109128,3.8628368
33154,"Pat Woertz",6.594481,6.078382,6.1610703,6.1019769,3.9111366
33169,"Professor Doctor Craig Barrett",4.7090507,5.3482561,4.7746058,4.1919413,3.2192302
33171,"Ken Lewis",4.7936769,4.5168595,4.0746083,3.2934463,3.299439
33179,"Paul Otellini",4.7787514,3.6334162,4.8125191,4.3207836,4.7146859
33211,"Mike Splinter",4.4595394,4.9243293,4.9396601,4.4519968,3.3155298
33263,"John Watson",4.169558,4.9895234,4.1931276,3.341677,3.9178228
33296,"Glenn Tilton",5.2352748,5.681097,7,4.661056,3.3749442
33316,"Doctor John Lechleiter",5.8038297,5.1889563,7,5.5631819,1.8629568
33328,"Barry Diller",4.9854836,5.1896329,5.5232506,4.0874953,2.9754324
33338,"Steve Reinemund",5.081192,5.6544647,5.4643974,5.0617862,3.2362602
33343,"Roger Enrico",5.1616325,5.6036434,5.0058327,4.0282154,2.5062766
33356,"Indra Nooyi",6.4519792,6.6781917,5.8313351,7,1.972905
33410,"Kevin Sharer",5.245038,5.328609,5.4815874,4.8225217,2.6776378
33482,"Anne Mulcahy",6.7864981,6.3424416,7,7,2.2751989
33494,"Rick Gonzalez",4.7689767,5.5110188,5.8135018,4.7780542,2.9186816
33500,"Miles White",4.9791174,5.4503078,5.4316154,4.8541517,2.9695528
33525,"Bob Parkinson Jr",5.1660833,5.5699205,5.0899558,4.7094474,2.5025551
33526,"John Thompson",5.2919998,5.1329136,5.4940538,4.8097587,3.077549
33529,"D Davis",5.6226058,5.2428546,5.8697658,5.0128307,1.8804562
33539,"Art Collins Jr",5.6334782,5.6770854,5.1864161,4.9634237,2.5913162
33550,"Don Layton",4.4417787,5.3377824,4.827064,3.5923271,3.3309309
33676,"Jim Cracchiolo",4.8809562,5.5090766,5.3090215,4.5513997,3.6341062
