,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,location_id,assigneeid,time
2537238,4678718,4678718-1,0,CN,B23K,ihuwdg2ar9zp,81992.0,1985/4/1
2918632,4911768,4911768-1,0,CN,B23K,euo854d24xql,349081.0,1987/5/19
2918633,4911768,4911768-2,0,CN,B23K,ihuwdg2ar9zp,349081.0,1987/5/19
2918634,4911768,4911768-3,0,CN,B23K,euo854d24xql,349081.0,1987/5/19
7260480,7041180,6231693-3,0,CN,B23K,jer0uylf5jti,34915.0,1995/7/15
5424081,6231693,6231693-3,0,CN,B23K,jer0uylf5jti,34915.0,1995/7/15
6426399,6681838,6681838-1,0,CN,B23K,iz7iej5vyfdc,34832.0,2000/6/19
6426401,6681838,6681838-3,0,CN,B23K,iz7iej5vyfdc,34832.0,2000/6/19
6426402,6681838,6681838-4,0,CN,B23K,iz7iej5vyfdc,34832.0,2000/6/19
6426400,6681838,6681838-2,0,CN,B23K,iz7iej5vyfdc,34832.0,2000/6/19
7012115,6934598,6934598-1,0,CN,B23K,sr4c2c4errqi,69397.0,2001/2/23
9427317,7915560,7915560-5,0,CN,B23K,iz7iej5vyfdc,289273.0,2003/3/19
6719193,6809289,6809289-1,0,CN,B23K,sr4c2c4errqi,47405.0,2003/3/5
6719194,6809289,6809289-2,0,CN,B23K,sr4c2c4errqi,47405.0,2003/3/5
6719195,6809289,6809289-3,0,CN,B23K,sr4c2c4errqi,47405.0,2003/3/5
8133410,7401725,7401725-4,0,CN,B23K,u85pzs357qoy,267154.0,2003/4/11
8133408,7401725,7245458-2,0,CN,B23K,u85pzs357qoy,267154.0,2003/4/11
8133409,7401725,7245458-3,0,CN,B23K,u85pzs357qoy,267154.0,2003/4/11
8133406,7401725,6847507-3,0,CN,B23K,u85pzs357qoy,267154.0,2003/4/11
7037142,6945445,6831778-3,0,CN,B23K,pz1trp6e2v84,7924.0,2003/5/9
7126087,6983872,6983872-3,0,CN,B23K,sr4c2c4errqi,207855.0,2003/6/3
7126086,6983872,6386422-2,1,CN,B23K,mgmsc817z0sk,207855.0,2003/6/3
7126085,6983872,5897048-1,1,CN,B23K,817gwxouf6c2,207855.0,2003/6/3
7800335,7265320,4628181-3,0,CN,B23K,xwejpu9vvt6p,96417.0,2003/9/26
8273726,7458495,7458495-6,0,CN,B23K,sr4c2c4errqi,207855.0,2004/10/13
8273725,7458495,7458495-5,0,CN,B23K,sr4c2c4errqi,207855.0,2004/10/13
8273724,7458495,7329617-2,0,CN,B23K,sr4c2c4errqi,207855.0,2004/10/13
8273723,7458495,6991967-2,0,CN,B23K,sr4c2c4errqi,207855.0,2004/10/13
8273722,7458495,6991967-1,0,CN,B23K,sr4c2c4errqi,207855.0,2004/10/13
8273721,7458495,5942838-2,1,CN,B23K,sr4c2c4errqi,207855.0,2004/10/13
9282296,7858900,7801049-1,0,CN,B23K,jer0uylf5jti,301262.0,2004/12/30
7764635,7250684,6953925-3,0,CN,B23K,ihuwdg2ar9zp,165219.0,2004/6/30
7275812,7047640,6816373-4,0,CN,B23K,pz1trp6e2v84,88572.0,2004/9/21
7275813,7047640,7047640-3,0,CN,B23K,pz1trp6e2v84,88572.0,2004/9/21
7275814,7047640,7047640-5,0,CN,B23K,pz1trp6e2v84,88572.0,2004/9/21
8944697,7726540,6386422-3,1,CN,B23K,sr4c2c4errqi,207855.0,2005/12/12
8944696,7726540,5897048-1,1,CN,B23K,sr4c2c4errqi,207855.0,2005/12/12
8944699,7726540,7726540-4,0,CN,B23K,sr4c2c4errqi,207855.0,2005/12/12
8944698,7726540,7147721-3,0,CN,B23K,sr4c2c4errqi,207855.0,2005/12/12
8447812,7528342,7528342-1,0,CN,B23K,u1qpusybbgzq,73344.0,2005/2/3
9142386,7804043,7528342-1,0,CN,B23K,u1qpusybbgzq,73344.0,2005/2/3
9916972,8106328,7698305-3,0,CN,B23K,f5be0gqurv3q,401177.0,2005/6/24
8925596,7718917,7150799-1,0,CN,B23K,2vnkkxfu2qhr,215665.0,2005/7/8
8925597,7718917,7718917-3,0,CN,B23K,2vnkkxfu2qhr,215665.0,2005/7/8
9605555,7985374,7985374-2,0,CN,B23K,qp21oifffc4g,259411.0,2006/11/26
9605556,7985374,7985374-3,0,CN,B23K,qp21oifffc4g,259411.0,2006/11/26
9605557,7985374,7985374-4,0,CN,B23K,qp21oifffc4g,259411.0,2006/11/26
9605554,7985374,7985374-1,0,CN,B23K,qp21oifffc4g,259411.0,2006/11/26
9185267,7820940,7820940-5,0,CN,B23K,pz1trp6e2v84,144512.0,2006/12/29
9185266,7820940,7820940-4,0,CN,B23K,pz1trp6e2v84,144512.0,2006/12/29
9185263,7820940,5901082-1,0,CN,B23K,pz1trp6e2v84,144512.0,2006/12/29
