,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,location_id,assigneeid,time
1753309,4147706,4021457-3,1,TW,C07C,fbwccsh7b3c5,28497.0,1978/1/10
2339918,4550150,3948823-1,0,TW,C07C,o316pur5weue,70789.0,1980/11/19
2227126,4476062,4476062-2,0,TW,C07C,o316pur5weue,279772.0,1983/11/16
2262469,4499258,4476062-2,0,TW,C07C,o316pur5weue,279772.0,1984/5/30
2589217,4711743,4711743-1,0,TW,C07C,krazrm7c73en,168416.0,1987/1/21
2810567,4847428,4847428-1,0,TW,C07C,w1xqz1v85pfl,6772.0,1987/11/18
2735080,4801752,4801752-1,0,TW,C07C,wrxkm9yquum9,103701.0,1987/2/12
2735081,4801752,4801752-2,0,TW,C07C,9doeuau9yc0b,103701.0,1987/2/12
2735082,4801752,4801752-3,0,TW,C07C,4ihiwdrb2a02,103701.0,1987/2/12
2735083,4801752,4801752-4,0,TW,C07C,dgskzqaqaxqf,103701.0,1987/2/12
2735084,4801752,4801752-5,0,TW,C07C,9doeuau9yc0b,103701.0,1987/2/12
2813599,4849386,4849386-3,0,TW,C07C,9doeuau9yc0b,296681.0,1987/3/27
2813598,4849386,4849386-2,0,TW,C07C,9doeuau9yc0b,296681.0,1987/3/27
2813597,4849386,4194964-2,0,TW,C07C,9doeuau9yc0b,296681.0,1987/3/27
2859027,4876398,4876398-1,0,TW,C07C,krazrm7c73en,216978.0,1988/6/10
2859028,4876398,4876398-2,0,TW,C07C,o316pur5weue,216978.0,1988/6/10
2859029,4876398,4876398-3,0,TW,C07C,o316pur5weue,216978.0,1988/6/10
2859030,4876398,4876398-4,0,TW,C07C,mdrwn2jcq051,216978.0,1988/6/10
2984403,4950835,4194964-2,0,TW,C07C,krazrm7c73en,296681.0,1989/10/24
2984404,4950835,4849386-2,0,TW,C07C,krazrm7c73en,296681.0,1989/10/24
2984405,4950835,4950835-3,0,TW,C07C,krazrm7c73en,296681.0,1989/10/24
3231586,5094782,5094782-1,0,TW,C07C,o316pur5weue,325504.0,1990/12/24
3231587,5094782,5094782-2,0,TW,C07C,o316pur5weue,325504.0,1990/12/24
3242804,5101063,5101063-3,0,TW,C07C,ghs3nk3vvr93,103701.0,1990/4/3
3242803,5101063,5008435-4,0,TW,C07C,ghs3nk3vvr93,103701.0,1990/4/3
3242801,5101063,5008435-1,0,TW,C07C,o316pur5weue,103701.0,1990/4/3
3032558,4978783,4978783-1,0,TW,C07C,fbwccsh7b3c5,391772.0,1990/5/2
3170341,5059724,4801752-4,0,TW,C07C,dgskzqaqaxqf,103701.0,1990/5/31
3170344,5059724,5059724-6,0,TW,C07C,9doeuau9yc0b,103701.0,1990/5/31
3170343,5059724,5059724-3,0,TW,C07C,9doeuau9yc0b,103701.0,1990/5/31
3170342,5059724,4801752-5,0,TW,C07C,9doeuau9yc0b,103701.0,1990/5/31
3170340,5059724,4801752-2,0,TW,C07C,9doeuau9yc0b,103701.0,1990/5/31
3170339,5059724,4801752-1,0,TW,C07C,wrxkm9yquum9,103701.0,1990/5/31
3185811,5068451,5068451-2,0,TW,C07C,4fhuholhl9dv,391772.0,1990/5/4
3185810,5068451,5068451-1,0,TW,C07C,4fhuholhl9dv,391772.0,1990/5/4
3339217,5155264,4223150-1,0,TW,C07C,fbwccsh7b3c5,252417.0,1990/9/4
3716881,5360575,5356564-2,0,TW,C07C,o316pur5weue,103701.0,1991/11/8
3716880,5360575,5356564-1,0,TW,C07C,krazrm7c73en,103701.0,1991/11/8
3469467,5227570,5160044-1,0,TW,C07C,krazrm7c73en,296681.0,1991/12/2
3469453,5227564,5227564-5,0,TW,C07C,teamzq9obshh,259003.0,1991/12/9
