,inventor_id,partner_list,partner_count
0,4024508-2,[],0
1,3979727-1,"['3979727-2', '3979727-3', '3979727-4']",3
2,3979727-2,"['3979727-1', '3979727-3', '3979727-4']",3
3,3979727-3,"['3979727-1', '3979727-2', '3979727-4']",3
4,3979727-4,"['3979727-1', '3979727-2', '3979727-3']",3
5,3971013-2,[],0
6,4130882-1,['4087852-1'],1
7,4087852-1,['4130882-1'],1
8,4184202-1,[],0
9,4355376-1,[],0
10,4245308-1,[],0
11,3996560-3,"['4290115-3', '4068298-3']",2
12,4290115-3,"['3996560-3', '4068298-3']",2
13,4068298-3,"['3996560-3', '4290115-3']",2
14,4159518-1,[],0
15,4388537-1,[],0
16,4535403-1,[],0
17,4493104-1,[],0
18,4653100-1,[],0
19,4691277-3,[],0
20,4688181-1,[],0
21,4695968-1,"['4628471-2', '4695968-3', '4628471-2']",3
22,4628471-2,"['4695968-1', '4695968-3', '4695968-1']",3
23,4695968-3,"['4695968-1', '4628471-2']",2
24,4720781-4,[],0
25,4541047-2,[],0
26,4393463-1,[],0
27,4648069-1,[],0
28,4561051-3,"['4750112-1', '4750112-2', '4561051-2']",3
29,4561051-2,"['4750112-1', '4750112-2', '4561051-3']",3
30,4750112-1,"['4561051-2', '4750112-2', '4561051-3', '4750112-2']",4
31,4750112-2,"['4561051-2', '4750112-1', '4561051-3', '4750112-1']",4
32,4796225-2,[],0
33,4707573-3,[],0
34,4920482-2,[],0
35,4752893-2,[],0
36,4646271-1,[],0
37,4740887-1,[],0
38,4239941-3,[],0
39,4361868-1,[],0
40,4882690-7,[],0
41,4851989-3,[],0
42,4604692-1,"['5001629-3', '5001629-4', '3960393-3']",3
43,5001629-3,"['4604692-1', '5001629-4', '3960393-3']",3
44,5001629-4,"['4604692-1', '5001629-3', '3960393-3']",3
45,3960393-3,"['4604692-1', '5001629-3', '5001629-4']",3
46,4856000-5,[],0
47,5025395-3,[],0
48,4974157-2,[],0
49,4841472-2,['4841472-3'],1
50,4841472-3,['4841472-2'],1
51,4615005-4,[],0
52,4809155-3,"['5432910-7', '5432910-2']",2
53,4931931-3,[],0
54,4461564-1,[],0
55,4975834-2,[],0
56,5019962-3,[],0
57,4126761-2,[],0
58,4751732-1,[],0
59,3954732-3,[],0
60,5075881-1,[],0
61,5018082-2,[],0
62,5029022-4,[],0
63,D246670-2,"['D248024-2', '5021922-4', '4360839-2']",3
64,D248024-2,"['D246670-2', '5021922-4', '4360839-2']",3
65,5021922-4,"['D246670-2', 'D248024-2', '4360839-2']",3
66,4360839-2,"['D246670-2', 'D248024-2', '5021922-4']",3
67,5214786-3,[],0
68,4923108-1,[],0
69,4787031-1,[],0
70,5377095-1,['4616227-3'],1
71,4616227-3,['5377095-1'],1
72,4674089-1,['4942559-4'],1
73,4774666-6,"['4031867-3', '4814988-2']",2
74,4031867-3,"['4774666-6', '4814988-2']",2
75,4814988-2,"['4774666-6', '4031867-3']",2
76,5247665-3,['5247665-2'],1
77,5247665-2,['5247665-3'],1
78,4644471-1,[],0
79,4532698-3,['4816706-1'],1
80,4816706-1,['4532698-3'],1
81,4975839-1,[],0
82,3973255-1,[],0
83,5278946-4,[],0
84,4910687-3,[],0
85,4866434-1,[],0
86,4299559-1,"['4698744-6', '4939909-2']",2
87,4698744-6,"['4299559-1', '4939909-2']",2
88,4939909-2,"['4299559-1', '4698744-6']",2
89,4590584-1,[],0
90,5309172-1,[],0
