,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,location_id,assigneeid,time
2395314,4586503,4586503-2,0,CN,A61B,ihuwdg2ar9zp,381972.0,1983/12/1
2624109,4733664,4586503-2,0,CN,A61B,ihuwdg2ar9zp,381972.0,1985/10/15
2646792,4747407,4747407-1,0,CN,A61B,feqww62bhj2a,120330.0,1985/9/3
2646793,4747407,4747407-2,0,CN,A61B,feqww62bhj2a,120330.0,1985/9/3
2646794,4747407,4747407-3,0,CN,A61B,feqww62bhj2a,120330.0,1985/9/3
2646795,4747407,4747407-4,0,CN,A61B,feqww62bhj2a,120330.0,1985/9/3
2646796,4747407,4747407-5,0,CN,A61B,feqww62bhj2a,120330.0,1985/9/3
3118762,5029082,5029082-6,0,CN,A61B,0w2m1bq64g2f,182836.0,1987/3/30
3118765,5029082,5029082-9,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3118764,5029082,5029082-8,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3118763,5029082,5029082-7,0,CN,A61B,0w2m1bq64g2f,182836.0,1987/3/30
3118761,5029082,5029082-5,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3118760,5029082,5029082-4,0,CN,A61B,jer0uylf5jti,182836.0,1987/3/30
3118759,5029082,5029082-3,0,CN,A61B,jer0uylf5jti,182836.0,1987/3/30
3118758,5029082,5029082-2,0,CN,A61B,jer0uylf5jti,182836.0,1987/3/30
3118757,5029082,5029082-16,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3118756,5029082,5029082-15,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3118754,5029082,5029082-13,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3118753,5029082,5029082-12,0,CN,A61B,gfgrpzqt8zp1,182836.0,1987/3/30
3118752,5029082,5029082-11,0,CN,A61B,gfgrpzqt8zp1,182836.0,1987/3/30
3118751,5029082,5029082-10,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3118755,5029082,5029082-14,0,CN,A61B,pz1trp6e2v84,182836.0,1987/3/30
3113076,5025784,5025784-3,0,CN,A61B,q56w1xcq7c3l,353206.0,1987/9/5
3113075,5025784,5025784-2,0,CN,A61B,q56w1xcq7c3l,353206.0,1987/9/5
3113074,5025784,5025784-1,0,CN,A61B,q56w1xcq7c3l,353206.0,1987/9/5
2839253,4865047,4865047-2,0,CN,A61B,4bl9vg5cr3hu,85218.0,1988/6/30
3161460,5054496,5054496-7,0,CN,A61B,jer0uylf5jti,301843.0,1988/7/15
3161454,5054496,5054496-1,0,CN,A61B,jer0uylf5jti,301843.0,1988/7/15
3161455,5054496,5054496-2,0,CN,A61B,jer0uylf5jti,301843.0,1988/7/15
3161456,5054496,5054496-3,0,CN,A61B,jer0uylf5jti,301843.0,1988/7/15
3161457,5054496,5054496-4,0,CN,A61B,jer0uylf5jti,301843.0,1988/7/15
3161459,5054496,5054496-6,0,CN,A61B,jer0uylf5jti,301843.0,1988/7/15
3161458,5054496,5054496-5,0,CN,A61B,jer0uylf5jti,301843.0,1988/7/15
3425156,5203328,5203328-4,0,CN,A61B,mgmsc817z0sk,175041.0,1991/7/17
4777434,5910140,5910140-7,0,CN,A61B,ah7dxvesuio0,275057.0,1993/9/27
