prev_iso2,movedAT,movedAU,movedCA,movedCH,movedCN,movedDE,movedFR,movedGB,movedHK,movedIE,movedIL,movedIN,movedJP,movedKR,movedNL,movedSE,movedSG,movedTW,movedUS
"AT",,,,,,19,,,,,,,,,,,,,
"AU",,,,,,,,,,,,,,,,,,,67
"CA",,,,,46,,,,,,,,,,,,,,264
"CH",,,,,,20,,,,,,,,,,,,,33
"CN",,,48,,,,,,43,,,,39,22,,,33,98,1159
"DE",26,,,31,,,,,,,,,,,23,,,,174
"FR",,,,,,,,,,,,,,,,,,,49
"GB",,,,,,,,,,,,,,,,,,,254
"HK",,,,,33,,,,,,,,,,,,,,18
"IE",,,,,,,,,,,,,,,,,,,25
"IL",,,,,,,,,,,,,,,,,,,65
"IN",,,,,,,,,,,,,,,,,,,203
"JP",,,,,37,,,,,,,,,39,,,,,146
"KR",,,,,26,,,,,,,,,,,,,,287
"NL",,,,,,,,,,,,,,,,,,,18
"SE",,,,,,,,,,,,,,,,,,,26
"SG",,,,,42,,,,,,,,,,,,,,43
"TW",,,,,115,,,,,,,,,,,,,,147
"US",,47,235,29,1053,148,30,150,,31,65,228,121,274,,27,42,149,
