,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile
0,QA,H04L,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,1,2,3
1,QA,G06F,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
2,QA,E21B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,3
3,TN,E21B,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,3
4,LK,A61K,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,7
5,LK,G06F,0.0,0.0,0.0,0.0,0.06250047999999998,0.0,0.0,0.0,0.0,0.06250047999999998,1,4,5
6,IS,H04L,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1,5,10
7,IS,G06F,0.0,0.0,0.0,0.0,0.04545476586560088,0.0,0.0,0.0,0.0,0.04545476586560088,1,6,4
8,IS,C12N,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
9,IS,A61K,0.0,0.0,0.0,0.0,0.08333378072575998,0.0,0.0,0.0,0.0,0.08333378072575998,1,4,5
10,IS,A61F,1.0,0.05263157894736842,0.14619883040935672,0.0,0.02873088847100877,1.0,0.05263157894736842,0.14619883040935672,0.0,0.02873088847100877,1,20,1
11,IN,C07C,0.0,0.0,0.0,0.0,0.0011820330969267328,0.0,0.0,0.0,0.0,0.0011820330969267328,2,178,1
12,IN,F02M,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,4,1
13,IN,F16J,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,8
14,IN,H01H,1.0,0.1111111111111111,0.15555555555555556,0.0,0.09450136347167115,1.0,0.1111111111111111,0.15555555555555556,0.0,0.09450136347167115,2,10,2
15,IN,E02F,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,1,2,6
16,IN,C08G,0.0,0.0,0.0,0.0,0.012987013305462253,0.0,0.0,0.0,0.0,0.012987013305462253,1,21,1
17,IN,H05H,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,2
18,IN,G11C,0.3333333333333333,0.006535947712418301,0.006535947712418301,0.0,0.012963117903592261,0.3333333333333333,0.006535947712418301,0.006535947712418301,0.0,0.012963117903592261,3,52,1
19,IN,B32B,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1,3,2
20,IN,G01R,2.0,0.03125,0.03125,0.0,0.01886792452830189,2.0,0.03125,0.03125,0.0,0.01886792452830189,1,65,2
21,IN,C12N,2.5,0.04807692307692308,0.04807692307692308,0.0,0.02145922746760487,2.5,0.04807692307692308,0.04807692307692308,0.0,0.021459227467604872,2,53,1
22,IN,H03K,0.0,0.0,0.0,0.0,0.005347593582887705,0.0,0.0,0.0,0.0,0.005347593582887705,1,55,1
23,IN,H04Q,2.0,0.2222222222222222,0.2222222222222222,0.0,0.11904756791705601,2.0,0.2222222222222222,0.2222222222222222,0.0,0.11904756791705601,1,10,6
24,IN,H02P,0.0,0.0,0.0,0.0,0.07692354603629026,0.0,0.0,0.0,0.0,0.07692354603629026,1,5,4
25,IN,B60K,0.0,0.0,0.0,0.0,0.04545476586560088,0.0,0.0,0.0,0.0,0.04545476586560088,1,6,3
26,IN,C10M,0.0,0.0,0.0,0.0,0.032258310951583574,0.0,0.0,0.0,0.0,0.032258310951583574,1,7,1
27,IN,A01K,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,4
28,IN,H04W,0.9,0.0034220532319391636,0.004936175991309071,5.6598844803065044e-05,0.0021542548308281194,0.8,0.003041825095057034,0.004804152332669443,5.6598844803065044e-05,0.002052056881305981,20,264,1
29,IN,F04D,6.0,0.375,0.4,0.0,0.07213542710554255,5.0,0.3125,0.36363636363636365,0.0,0.06434063921892197,2,17,7
30,IN,G06T,0.0,0.0,0.0,0.0,0.004032258064516128,0.0,0.0,0.0,0.0,0.004032258064516128,2,64,1
31,IN,G07C,0.0,0.0,0.0,0.0,0.018868348870278724,0.0,0.0,0.0,0.0,0.018868348870278724,1,13,5
32,IN,C08B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,1
33,IN,G06N,1.0,0.02,0.02,0.0,0.020920502091734863,1.0,0.02,0.02,0.0,0.020920502091734863,1,51,6
34,IN,H02J,1.0,0.04,0.04,0.0,0.04385963035983784,1.0,0.04,0.04,0.0,0.04385963035983784,1,26,1
35,IN,H04J,0.0,0.0,0.0,0.0,0.014705964013671871,0.0,0.0,0.0,0.0,0.014705964013671871,2,16,2
36,IN,A61F,0.0,0.0,0.0,0.0,0.043478523081543416,0.0,0.0,0.0,0.0,0.043478523081543416,1,7,2
37,IN,B60L,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,3
38,IN,C08F,0.0,0.0,0.0,0.0,0.012048192771084505,0.0,0.0,0.0,0.0,0.012048192771084505,1,19,1
39,IN,H01J,0.0,0.0,0.0,0.0,0.023256161359468525,0.0,0.0,0.0,0.0,0.023256161359468525,1,11,1
