pair,fiveyear,totGMIs,rank
"AD-BE","1996-00",1,399
"AD-ES","2011-15",1,724
"AD-FR","1991-95",1,360
"AD-US","2011-15",1,648
"AE-AE","1986-90",0,347
"AE-AE","1991-95",0,458
"AE-AE","1996-00",0,594
"AE-AE","2001-05",0,615
"AE-AE","2006-10",0,828
"AE-AE","2011-15",0,896
"AF-CH","1996-00",1,390
"AF-US","1996-00",1,486
"AG-AR","2001-05",1,542
"AG-AR","2006-10",1,551
"AG-AR","2011-15",2,591
"AG-CH","2011-15",1,647
"AG-US","2001-05",1,437
"AI-DE","1996-00",1,449
"AI-GB","2001-05",1,550
"AI-US","2006-10",1,734
"AI-ZA","1986-90",2,157
"AI-ZA","1991-95",1,322
"AM-AM","1996-00",0,577
"AM-AM","2001-05",0,661
"AM-AM","2006-10",0,784
"AM-AM","2011-15",0,858
"AN-CH","1996-00",1,462
"AN-DE","2001-05",1,601
"AN-IL","1996-00",1,431
"AN-NL","1996-00",1,378
"AN-NL","2001-05",1,606
"AO-FR","1986-90",1,226
"AO-FR","2006-10",2,489
"AO-US","2006-10",2,476
"AQ-AR","1996-00",1,466
"AR-AR","1986-90",0,371
"AR-AR","1991-95",0,405
"AR-AR","1996-00",0,581
"AR-AR","2001-05",0,642
"AR-AR","2006-10",0,782
"AR-AR","2011-15",0,891
"AT-AE","2011-15",4,404
"AT-AT","1986-90",0,358
"AT-AT","1991-95",0,412
"AT-AT","1996-00",0,606
"AT-AT","2001-05",0,607
"AT-AT","2006-10",0,758
"AT-AT","2011-15",0,848
"AU-AT","1986-90",8,76
"AU-AT","1991-95",12,87
"AU-AT","1996-00",18,102
"AU-AT","2001-05",24,109
"AU-AT","2006-10",15,171
"AU-AT","2011-15",19,183
"AU-AU","1986-90",0,331
"AU-AU","1991-95",0,430
"AU-AU","1996-00",0,537
"AU-AU","2001-05",0,623
"AU-AU","2006-10",0,761
"AU-AU","2011-15",0,838
"AW-FR","2006-10",1,642
"AZ-AU","2001-05",1,549
"AZ-AU","2011-15",1,792
"AZ-US","1986-90",4,109
"AZ-US","1991-95",3,195
"AZ-US","2001-05",1,561
"AZ-US","2006-10",1,671
"AZ-US","2011-15",3,484
"BA-BS","1996-00",1,489
"BA-BS","2001-05",1,547
"BA-DE","2011-15",1,616
"BA-DK","2011-15",1,598
"BA-GB","2006-10",1,561
"BA-US","1986-90",2,175
"BA-US","1991-95",1,319
"BA-US","1996-00",3,277
"BA-US","2006-10",1,744
"BB-AT","2011-15",1,766
"BB-BE","1996-00",1,403
"BB-BE","2001-05",1,495
"BB-CA","1996-00",1,461
"BB-CA","2006-10",1,676
"BB-DK","1996-00",1,510
"BB-GB","1991-95",1,361
"BB-GB","1996-00",2,287
"BB-GB","2001-05",1,470
"BB-MX","2011-15",2,586
"BB-US","1991-95",1,391
"BB-US","2001-05",1,569
"BB-US","2006-10",1,533
"BB-US","2011-15",1,646
"BD-BD","2011-15",0,859
"BE-AR","2006-10",1,532
"BE-AR","2011-15",1,799
"BE-AT","1996-00",3,264
"BE-AT","2001-05",2,371
"BE-AT","2006-10",5,310
"BE-AT","2011-15",1,747
"BE-AU","1991-95",3,176
"BE-AU","1996-00",2,312
"BE-AU","2001-05",14,149
"BE-AU","2006-10",6,272
"BE-AU","2011-15",16,205
"BE-BE","1986-90",0,348
"BE-BE","1991-95",0,454
"BE-BE","1996-00",0,538
"BE-BE","2001-05",0,659
"BE-BE","2006-10",0,759
"BE-BE","2011-15",0,902
"BF-BE","1986-90",3,136
"BF-BE","1991-95",3,201
"BF-BE","2011-15",1,700
"BG-AU","2001-05",4,267
"BG-BE","1986-90",1,285
"BG-BE","1991-95",3,186
"BG-BE","1996-00",8,180
"BG-BE","2001-05",18,135
"BG-BE","2006-10",18,164
"BG-BE","2011-15",20,179
"BG-BG","1986-90",0,335
"BG-BG","1991-95",0,425
"BG-BG","1996-00",0,612
"BG-BG","2001-05",0,637
"BG-BG","2006-10",0,805
"BG-BG","2011-15",0,876
"BH-GB","2011-15",1,744
"BH-SA","2011-15",4,396
"BH-US","2006-10",2,465
"BM-BM","1986-90",0,339
"BM-BM","1991-95",0,414
"BM-BM","1996-00",0,535
"BM-BM","2001-05",0,653
"BM-BM","2006-10",0,756
"BM-BM","2011-15",0,875
"BN-US","2001-05",1,454
"BN-US","2006-10",1,703
"BN-US","2011-15",1,709
"BO-FR","2006-10",1,599
"BR-AR","2001-05",1,573
"BR-AR","2006-10",1,646
"BR-AR","2011-15",1,669
"BR-AT","2006-10",1,592
"BR-AU","2006-10",1,704
"BR-AU","2011-15",1,676
"BR-BE","2011-15",1,643
"BR-BR","1986-90",0,318
"BR-BR","1991-95",0,420
"BR-BR","1996-00",0,548
"BR-BR","2001-05",0,621
"BR-BR","2006-10",0,788
"BR-BR","2011-15",0,837
"BS-BS","1986-90",0,332
"BS-BS","1991-95",0,413
"BS-BS","1996-00",0,608
"BS-BS","2001-05",0,618
"BS-BS","2011-15",0,872
"BY-BY","1991-95",0,452
"BY-BY","1996-00",0,571
"BY-BY","2001-05",0,667
"BY-BY","2006-10",0,783
"BY-BY","2011-15",0,906
"BZ-CA","2006-10",1,608
"BZ-CA","2011-15",1,630
"BZ-DE","2011-15",1,713
"CA-AE","1996-00",1,451
"CA-AE","2001-05",2,351
"CA-AE","2006-10",2,501
"CA-AE","2011-15",7,314
"CA-AR","2001-05",1,451
"CA-AR","2006-10",1,738
"CA-AT","1986-90",10,66
"CA-AT","1991-95",3,191
"CA-AT","1996-00",12,133
"CA-AT","2001-05",12,160
"CA-AT","2006-10",17,166
"CA-AT","2011-15",16,208
"CA-AU","1986-90",27,37
"CA-AU","1991-95",25,52
"CA-AU","1996-00",67,48
"CA-AU","2001-05",83,53
"CA-AU","2006-10",81,67
"CA-AU","2011-15",83,79
"CA-BE","1986-90",5,102
"CA-BE","1991-95",10,94
"CA-BE","1996-00",12,135
"CA-BE","2001-05",31,98
"CA-BE","2006-10",28,130
"CA-BE","2011-15",26,152
"CA-BG","1996-00",1,409
"CA-BG","2001-05",1,562
"CA-BG","2006-10",2,513
"CA-BG","2011-15",4,425
"CA-BM","2006-10",1,641
"CA-BR","1986-90",2,197
"CA-BR","1991-95",1,343
"CA-BR","2001-05",4,274
"CA-BR","2006-10",2,453
"CA-BR","2011-15",5,361
"CA-BS","2001-05",1,443
"CA-BS","2011-15",2,517
"CA-BY","2001-05",1,441
"CA-CA","1986-90",0,355
"CA-CA","1991-95",0,433
"CA-CA","1996-00",0,610
"CA-CA","2001-05",0,658
"CA-CA","2006-10",0,793
"CA-CA","2011-15",0,861
"CH-AE","2001-05",3,315
