countryid,country,class,technology,decile_1stGMI_Sara,decile_1stGMI_Frank
2,AE,59,A61B,2,1
2,AE,66,A61K,3,3
2,,68,,,
2,,84,,,
2,AE,283,C08L,3,3
2,AE,400,E21B,1,1
2,AE,512,G01N,4,3
2,AE,518,G01V,2,1
2,AE,542,G06F,1,1
2,AE,548,G06Q,5,6
2,AE,593,H01L,2,1
2,AE,623,H04L,2,1
2,AE,629,H04W,3,1
7,AM,24,A23L,1,1
7,AM,542,G06F,,9
7,,572,,,
11,,3,,,
11,AR,6,A01H,3,3
11,,11,,,
11,,24,,,
11,,51,,4,
11,,59,,,
11,,62,,,
11,,63,,,
11,AR,66,A61K,2,1
11,,68,,,
11,AR,69,A61N,7,6
11,,75,,,
11,,84,,,
11,,229,,,
11,,231,,,
11,AR,269,C07C,7,8
11,AR,270,C07D,5,3
11,AR,275,C07K,6,4
11,,300,,,
11,AR,311,C12N,3,2
11,AR,313,C12Q,5,6
11,AR,400,E21B,2,1
11,,408,,,
11,,441,,,
11,AR,512,G01N,9,8
11,,515,,,
11,,518,,,
11,AR,542,G06F,1,1
11,AR,545,G06K,2,1
11,,548,,,
11,AR,553,G07F,5,6
11,,619,,,
11,AR,623,H04L,1,1
11,,624,,,
11,,625,,,
13,,5,,,
13,AT,6,A01H,1,1
13,,8,,,
13,AT,11,A01N,6,6
13,AT,23,A23K,2,1
13,,24,,,
13,,29,,,
13,,39,,,
13,AT,42,A44B,1,1
13,,46,,,
13,AT,50,A47B,9,9
13,AT,51,A47C,7,5
13,,56,,10,
13,,58,,,
13,AT,59,A61B,1,1
13,AT,60,A61C,5,4
13,AT,62,A61F,2,1
13,,64,,,
13,AT,66,A61K,1,1
13,AT,67,A61L,8,8
13,AT,68,A61M,1,2
13,AT,69,A61N,1,1
13,,71,,5,
13,AT,75,A63B,1,1
13,AT,76,A63C,8,8
13,AT,78,A63F,4,4
13,AT,84,B01D,3,3
13,AT,86,B01J,5,4
13,,87,,,
13,,89,,,
13,,95,,8,
13,AT,106,B21D,4,2
13,AT,114,B22D,2,2
13,AT,115,B22F,3,3
13,,116,,,
13,,122,,,
13,,125,,,
13,AT,129,B25C,7,7
13,,134,,,
13,,135,,,
13,,136,,2,
13,,151,,,
13,AT,152,B29B,3,2
13,AT,153,B29C,2,1
13,,156,,,
13,AT,161,B32B,1,1
13,AT,166,B41F,4,1
13,AT,168,B41J,1,1
13,AT,175,B42D,5,4
13,AT,185,B60C,1,1
13,,188,,,
13,,190,,10,
13,AT,191,B60K,1,1
13,,192,,,
13,AT,194,B60N,3,2
13,,196,,,
13,AT,197,B60R,1,1
13,,199,,,
13,AT,201,B60W,2,2
13,AT,213,B62D,,10
13,AT,218,B62M,9,8
13,,219,,,
13,AT,225,B64C,7,8
13,,226,,,
13,,229,,,
13,AT,231,B65D,6,5
13,,233,,,
13,,234,,,
13,AT,235,B66B,2,1
13,,249,,10,
13,,250,,,
13,AT,255,C02F,4,7
13,,256,,,
13,,257,,,
13,AT,258,C04B,6,5
13,,262,,,
13,AT,269,C07C,1,1
13,AT,270,C07D,1,1
13,AT,271,C07F,1,1
13,AT,273,C07H,6,7
13,AT,274,C07J,3,3
13,AT,275,C07K,1,1
13,AT,278,C08F,2,2
13,AT,279,C08G,6,6
13,AT,281,C08J,1,1
13,AT,282,C08K,1,1
13,AT,283,C08L,3,2
13,AT,285,C09C,1,1
13,AT,286,C09D,2,1
13,AT,290,C09J,3,3
13,AT,291,C09K,8,8
13,AT,303,C11D,1,1
13,AT,311,C12N,2,1
13,AT,312,C12P,7,7
13,,313,,,
13,AT,320,C21B,2,1
13,AT,321,C21C,4,4
13,,322,,,
13,AT,323,C22B,4,7
13,,324,,,
13,AT,326,C23C,3,2
13,,329,,,
13,,332,,,
13,AT,334,C30B,2,2
13,,338,,,
13,AT,341,D01H,7,8
