,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile,decile_1stGMI_Sara
0,QA,H04L,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,1,2,3,3.0
1,QA,G06F,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1.0
2,QA,E21B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,3,3.0
3,TN,E21B,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,3,3.0
4,LK,A61K,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,7,7.0
5,LK,G06F,0.0,0.0,0.0,0.0,0.0625004799999999,0.0,0.0,0.0,0.0,0.0625004799999999,1,4,5,5.0
6,IS,G06F,0.0,0.0,0.0,0.0,0.0454547658656008,0.0,0.0,0.0,0.0,0.0454547658656008,1,6,4,4.0
7,IS,C12N,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1.0
8,IS,A61K,0.0,0.0,0.0,0.0,0.0833337807257599,0.0,0.0,0.0,0.0,0.0833337807257599,1,4,5,5.0
9,IS,A61F,1.0,0.0526315789473684,0.1461988304093567,0.0,0.0287308884710087,1.0,0.0526315789473684,0.1461988304093567,0.0,0.0287308884710087,1,20,1,1.0
10,IN,C07C,0.0,0.0,0.0,0.0,0.0011820330969267,0.0,0.0,0.0,0.0,0.0011820330969267,2,178,1,1.0
11,IN,F02M,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,4,1,1.0
12,IN,H01H,1.0,0.1111111111111111,0.1555555555555555,0.0,0.0945013634716711,1.0,0.1111111111111111,0.1555555555555555,0.0,0.0945013634716711,2,10,2,2.0
13,IN,E02F,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.5,1,2,6,6.0
14,IN,C08G,0.0,0.0,0.0,0.0,0.0129870133054622,0.0,0.0,0.0,0.0,0.0129870133054622,1,21,1,1.0
15,IN,G11C,0.3333333333333333,0.0065359477124183,0.0065359477124183,0.0,0.0129631179035922,0.3333333333333333,0.0065359477124183,0.0065359477124183,0.0,0.0129631179035922,3,52,1,1.0
