Ultimate.Company,Company_N,DUNS Number,Matched bizname,fuzzy_output,fuzz_score
Johnson & Johnson,324,1307081.0,Johnson & Johnson,100.0,100.0
Jim Beam Brands,322,5121447.0,"Jim Beam Brands Co., Inc.",75.0,75.0
Molson Coors Brewing,399,7057342.0,Molson Coors Brewing Company,83.0,83.0
Wal-Mart,657,51957769.0,"Wal-Mart Stores, Inc.",55.0,55.0
General Mills,251,6250740.0,"General Mills, Inc.",81.0,81.0
The Coca-Cola Company,581,3296175.0,The Coca-Cola Company,100.0,100.0
Colgate-Palmolive,149,275580871.0,COLGATE-PALMOLIVE,100.0,100.0
La Mariposa,345,433486300.0,LA MARIPOSA SRL,85.0,85.0
Feelgood,233,261862199.0,FEELGOOD,100.0,100.0
Edgewell Personal Care,210,260162641.0,L&C,16.0,16.0
Traditional Medicinals,611,260679952.0,MEDI,31.0,31.0
Starbucks Coffee,546,267151483.0,STARBUCKS COFFEE FRANCE,82.0,82.0
Old Orchard Brands,437,260488095.0,D.B,19.0,19.0
Abbott Laboratories,4,1307602.0,Abbott Laboratories,100.0,100.0
Nice Pak Products,428,3778198.0,"Nice-Pak Products, Inc.",80.0,80.0
Prestige Cosmetics,476,39651344.0,Prestige Cosmetics Corporation,75.0,75.0
Purity Cosmetics,484,573633927.0,SME,32.0,32.0
JBS,321,16619637.0,"Jbs United, Inc.",32.0,32.0
Bristol-Myers Squibb,111,275352607.0,BRISTOL MYERS SQUIBB,95.0,95.0
Viacom International,647,787090617.0,Viacom International Inc.,89.0,89.0
WD-40 Company,659,8232449.0,WD-40 Company,100.0,100.0
Taylor Fresh Foods,576,506747062.0,Taylor & Taylor,55.0,55.0
Clif Bar & Company,143,261188674.0,MPA,29.0,29.0
Johnsonville Sausage,325,42619932.0,"Johnsonville Sausage, LLC",89.0,89.0
Costco Wholesale,165,770147049.0,COSTCO WHOLESALE UK LTD,82.0,82.0
American Italian Pasta Company,34,160899605.0,American Italian Pasta Company,100.0,100.0
Amy's Kitchen,47,194962577.0,Amy's Kitchen Inc,87.0,87.0
John B. Sanfilippo & Son,323,25293481.0,"John B. Sanfilippo & Son, Inc.",89.0,89.0
E & J Gallo Winery,204,9200056.0,E. & J. Gallo Winery,95.0,95.0
Creative Marketing,167,692640972.0,MARKETING CREATIVE CORP.,48.0,48.0
C&S Wholesale Grocers,115,1842467.0,"C&S Wholesale Grocers, Inc.",88.0,88.0
General Nutrition Corporation - GNC,252,14960165.0,General Nutrition Corporation,91.0,91.0
TCCD International,577,4026821.0,Etc International,91.0,91.0
Wang Globalnet,658,15059967.0,Wang Globalnet,100.0,100.0
The Sun Products Corporation,600,70931480.0,The Sun Products Corporation,100.0,100.0
Constellation Brands,159,59651117.0,"Constellation Brands, Inc.",87.0,87.0
Alfa Vitamins Laboratories,26,274874564.0,ALFA,27.0,27.0
Fresherized Foods,245,262200499.0,D.F.,19.0,19.0
Bush Brothers & Company,114,3377538.0,Bush Brothers & Company,100.0,100.0
Otis Spunkmeyer,446,275153476.0,OTIS,42.0,42.0
Select Pet Products,518,262559342.0,PRO,27.0,27.0
Willert Home Products,665,6289680.0,"Willert Home Products, Inc.",88.0,88.0
Sunshine International,557,61640459.0,Sunshine International Corp,90.0,90.0
Petco Animal Supplies,465,28364727.0,"Petco Animal Supplies, Inc.",88.0,88.0
Tender Corporation,579,64437304.0,Tender Corporation,100.0,100.0
Natural Polymer International Corporation,415,,,,
Reynolds Consumer Products,500,6126387.0,Reynolds Consumer Products Inc,93.0,93.0
Transnational Foods,612,261569392.0,NATI,35.0,35.0
Monarch International,402,650069123.0,MONARCH INTERNATIONAL,100.0,100.0
Kroger,340,278117122.0,ROGER,91.0,91.0
Beaver Street Fisheries,87,4079364.0,"Beaver Street Fisheries, Inc.",88.0,88.0
Ames International,43,915335439.0,AMBE INTERNATIONAL,94.0,94.0
NeilMed Pharmaceuticals,420,783557783.0,Neilmed Pharmaceuticals Inc,92.0,92.0
Barhyte Specialty Foods,82,261596999.0,ARH,23.0,23.0
Australis Aquaculture,72,390905961.0,ALI,25.0,25.0
International Flavours & Fragrances,304,590142485.0,INTERNATIONAL FLAVOURS & FRAGRANCES (NZ) LIMITED,84.0,84.0
Keurig Green Mountain,330,266431225.0,REEN,32.0,32.0
Doskocil Manufacturing Company,197,8031015.0,"Doskocil Manufacturing Company, Inc.",91.0,91.0
Wei-Chuan USA,661,64596620.0,"WEI Chuan Usa, Inc.",75.0,75.0
American Eagle Outfitters,32,834469876.0,"American Eagle Outfitters, Inc.",89.0,89.0
Haddon House Food Products,270,1949916.0,"Haddon House Food Products, Inc.",90.0,90.0
First American Brands,236,93753502.0,"First American Brands, Inc.",88.0,88.0
Victory International,649,927574066.0,Victory International,100.0,100.0
Atlantic Capes Fisheries,66,119210656.0,"Atlantic Capes Fisheries, Inc.",89.0,89.0
Premier Brands of America,475,261983020.0,MERI,28.0,28.0
Schulze & Burch Biscuit,516,5105960.0,Schulze and Burch Biscuit Co,86.0,86.0
4C Foods,1,261776594.0,4C,40.0,40.0
Mcllhenny Company,383,8158396.0,McIlhenny Company,94.0,94.0
La Terra Fina,346,263318292.0,A-F,25.0,25.0
American Trading International,41,261569392.0,NATI,24.0,24.0
Promotion In Motion,479,49314511.0,"Promotion In Motion, Inc",88.0,88.0
Allegro Coffee Company,27,261188674.0,MPA,24.0,24.0
The Folger Coffee Company,584,4273710.0,The Folger Coffee Company,100.0,100.0
Whole Foods Market,663,93735686.0,"Whole Foods Market, Inc.",86.0,86.0
American Consumer Products,31,261983020.0,MERI,27.0,27.0
Innovation Ventures,297,169417735.0,"Innovation Ventures, LLC",88.0,88.0
Associated Wholesale Grocers,63,6943062.0,"Associated Wholesale Grocers, Inc.",90.0,90.0
Cosmopolitan Food Group,164,291265630.0,TAN,23.0,23.0
Livingston International,358,201575438.0,Livingston International Inc,92.0,92.0
Rite Aid,502,799460274.0,"Rite Aid Drug Palace, Inc.",47.0,47.0
Presto Absorbent Products,477,278293175.0,PRESTO,39.0,39.0
Forest Laboratories,241,1288281.0,"Forest Laboratories, Inc.",86.0,86.0
Grassland Dairy Products,263,6080204.0,"Grassland Dairy Products, Inc.",89.0,89.0
The Vitamin Shoppe,601,261406786.0,VIT,29.0,29.0
Pacific World Corporation,454,89693097.0,Pacific World Corporation,100.0,100.0
Ocean Beauty Seafoods,434,9248071.0,Ocean Beauty Seafoods LLC,91.0,91.0
Ann's House of Nuts,49,40534570.0,"Ann's House of Nuts, Inc.",86.0,86.0
Vital Pharmaceuticals,651,233186936.0,Ace,25.0,25.0
USANA Health Sciences,643,804413250.0,"Usana Health Sciences, Inc.",88.0,88.0
Dorel Juvenile Group,196,118841501.0,"Dorel Juvenile Group, Inc.",87.0,87.0
Aura,71,265278650.0,AURA,100.0,100.0
Community Pharmacy,154,24356636.0,Community Pharmacy Inc,90.0,90.0
Euro-American Brands,221,261983020.0,MERI,33.0,33.0
One World Enterprises,440,716294137.0,NEW WORLD ENTERPRISE,93.0,93.0
Tony Chachere's Creole Foods,610,265031872.0,EOLE,25.0,25.0
Tribe Mediterranean Foods,619,260679952.0,MEDI,28.0,28.0
Bay Valley Foods,84,6127708.0,"Bay Valley Foods, LLC",86.0,86.0
Neurobrands,422,383011749.0,BR,31.0,31.0
International Marketing Systems,308,174823740.0,International Marketing Systems Ltd.,93.0,93.0
Orion Seafood International,443,605784263.0,"Orion Seafood International, Inc.",90.0,90.0
Mueller Sports Medicine,405,260679952.0,MEDI,30.0,30.0
Langer Juice Company,348,225157627.0,Ice,26.0,26.0
World Centric,668,293188327.0,CEN,38.0,38.0
Ouidad,447,264098331.0,IDA,67.0,67.0
Bell Flavors & Fragrances,89,47906342.0,"Bell Flavors and Fragrances, Inc.",83.0,83.0
United Natural Foods,635,943556183.0,"United Natural Foods, Inc.",87.0,87.0
Simply 7 Snacks,528,261773356.0,MPL,33.0,33.0
Universal Beauty Products,641,262297801.0,BEAUTY,39.0,39.0
Hidden Valley Farms,282,260009783.0,VAL,27.0,27.0
Trinity Industries,621,7324254.0,"Trinity Industries, Inc.",86.0,86.0
Sweet Street Desserts,564,9139676.0,"Sweet Street Desserts, Inc.",88.0,88.0
