inventor_first_name,inventor_last_name,inventor_id
Roy T.,"Paluska, Jr.",4846009-1
Mingming,Geng,5389333-3
Andrew G.,Anderson,8082535-3
Clara R.,Gardner,D333849-2
Christopher Ryan,Dienes,9846470-2
Przemyslaw,Godycki,D478081-3
Barry A.,Salka,3970576-2
Rick,Tackett,9942409-2
Mai T.,MacLennan,5309389-2
Mase J.,Taub,10026460-3
Joseph F.,Stieber,4631316-1
Gerald C.,LeVert,6240967-2
Dimitrios V.,Dounis,7691914-3
I-Huan,Lo,5012377-2
Robert Edward,Lutz,6359105-13
Pinar,Kurt,7771793-5
Frank,Schambre,4685613-1
Ellyse E.,Smolenak,5734894-4
Edward J.,Gormley,4118910-2
Bridget T.,Mattern,6763342-1
Jakob,Vinten-Johansen,6900008-1
Hope M.,Viajar,5716663-3
Victor M.,Chaltiel,8341023-3
Telly,Ousouljoglou,8095223-2
Mark L.,Petre,4195208-1
Robert W.,Evans,4076086-1
Phillip G.,Reed,4596532-2
Dave,Buzzetti,6860775-1
Jason E.,Levy,D378065-1
Richard D.,Bucholz,5383454-1
Walter K.,Dean,4405812-1
Maureen J.,Charron,7001735-1
Vladimir,Zanev,9489631-5
Simon,Sheu,5250364-2
Ton-Yun,Fang,6512525-3
George M.,Bailey,6698997-2
Ronald E.,Daubenspeck,4595986-1
Teuvo Juhani,Koponen,6301347-2
Albert M.,Polanco,6892717-1
Kenneth S.,Clark,6343698-4
Mary Lee,Fowler,8272072-1
Kenneth J.,Weese,5198598-3
Brett A.,Gessay,6099061-1
Donald J.,Brott,4358828-3
Chun,Lee,7926959-3
Paul K.,Lee,5396622-1
Richard L.,Balsley,4013054-1
James E.,Seykora,4357765-1
Keith E.,Wier,4456574-2
Gary,Allen,8541933-2
Robert T.,LoBianco,5214492-1
Charles M.,Johnson,4007791-1
Ron,Power,6385888-1
Richard A.,Stephens,5299728-6
Xiaoling,Li,5288827-1
Prashant,Thiruvengadachari,10025625-1
Robert L.,"Hearn, Jr.",4582892-4
Diana,Newcomb,6865001-2
Wouter,van Oortmerssen,9378237-1
Dawn,Grandsart,9562627-2
Michael Taylor,McVey,6653122-4
Arnold J.,Wilkens,3978844-1
Jeffrey M.,Williford,5069144-1
James D.,Barber,6084196-4
George Kelly,Flanagin,7725712-3
Timothy D.,Anderson,10028594-1
Ricardo G.,Hernandez,5800228-1
John P.,Gratton,6254621-3
David A.,Weinzierl,10076611-5
Paul W.,Hall,9079103-2
Cecelia D.,Olson,6240650-1
Kevin D.,Homer-Richardson,7145099-1
Brian M.,Casey,10059901-1
James P.,Crimmins,4949274-3
David Arthur,Williams,6535947-5
Michael,Jenkins,8049340-4
Felix B.,Sheflyand,9406425-1
Thomas M.,Kenyhercz,4486423-1
Wendell,King,5154501-2
Jerry C.,Levingston,5362114-1
David,Jahsman,4438867-2
Chengzhang,Li,9563127-1
Thomas J.,Vigorito,5743759-2
Siqing,Lu,6461435-9
Sung-Hong,Park,8676296-1
Lavon A.,Harmon,4559870-2
Winston B.,McGuire,4010571-1
Cam R.,Greene,7279163-2
John D.,Campbell,D255984-2
Venky,Nagapudi,8340120-2
Gadigeppa,Malagund,9319977-5
Pok N.,Smith,5020638-1
Johnna Lee,Haller,5879572-2
E. Keith,Howell,4292612-1
Janet F.,Morrison,6478750-1
Bossiz,Harris,7302764-1
Abraham S.,Nahon,4005548-1
William M.,Lennox,4288876-1
Ralph,Roberts,4202099-1
James Brett,Wieseneck,9580967-4
Shira,Bauman,9785304-8
John A.,Cruze,4795708-2
Johanna P.,Opdebeeck,4425330-2
Jeremy A.,Thuerk,8409302-1
Ojustwin A.,Naik,7092968-2
Daniel L.,Boiman,D714890-1
Oren P.,Rappoport,5248962-1
Donald R.,Garvick,5824910-4
Joan,Tanin,5237937-2
David B.,Nitschke,10011514-1
Soleil Kathleen,Dolce,7599857-3
Andrew,Mott,7231896-2
Thomas J.,Lynch,5285794-1
William,Roelle,6683947-1
George T.,"Barnhill, III",D311129-1
Christian Lauritz,Houlbert,7487015-1
Ronald J.,Duppert,5911563-1
Philip C.,McNeill,9505233-2
Michael G.,Saghbini,6235501-2
William H.,Jenson,5475040-2
Bruce,Tew,5636900-3
Alan Robert,Joughin,9857478-1
Sanmukh M.,Patel,5525874-2
Frank F.,De Safey,5692673-1
Beng L.,Lim,4968397-3
Blake B.,Mowe,D511600-1
William L.,Banning,4977499-1
Robin L.,Langsam,5333336-1
Miguel A.,Lanaspa-Garcia,8697628-4
Jonathan G.,Grossman,4481634-1
Tom,Stio,6165337-1
Masoud,Hajiaghajhani,7649342-1
Ronald Gary,West,9249542-1
