,NAME,NATIONALITY_STATE_CODE,STATE_OF_RESIDENCE_CODE
822015,"GOKARAJU RAMA, Raju",IN,IN
67711,"BECKLEY, Daniel, V.",US,US
1209456,"FRIBERG, Claes",SE,SE
824959,"DAULATBAD, Anand, Vijaykumar",IN,IN
1394755,"POULTON, Mary, M.",US,US
1817756,"BURRIS, Thomas",US,US
1490236,"SHEN, Gene, G.-Y.",US,US
629255,"HARRELL, Robert, Arthur",GB,GB
1042528,KATABUCHI Hidetaka,JP,JP
1104123,"SHIN, Kyung Ho",KR,KR
414268,"JESCHEK, Heinz",DE,DE
1189739,"CHIKIN, Andrey Yegorovich",RU,RU
1620680,"PICHOT, Jaques",FR,FR
566494,"WILLIAMS, GEralt",FR,FR
1838317,"ALLEN, Robert, E.",US,US
310485,"GUZMANN, Marcus",DE,DE
368813,"GIBOT, Sebastien",FR,FR
1661382,"WARD, Matthew, J",US,US
271364,"LENZ, Ulrich",DE,DE
1516555,"HOWLAND, William, H., Jr.",US,US
1559346,"ZHOU, Tianhong",US,US
929,"TEUBEL, Hanns-Thomas",AT,AT
1278834,"MAY, David, C.",US,US
589956,"MAILLOT, Paul",FR,FR
1198611,"BELASH, Alexandr Olegovich",RU,RU
1238958,"GUSEVA, Irina Borisovna",SU,SU
1365365,"MOOIJMAN, Frank",NL,NL
1859993,"KAPP, John",ZA,ZA
646300,"KNUTSEN, Lars, Jacob, Stray.",GB,GB
1455317,"BOLLINGER, Marilyn, L.",US,US
902578,"KATOU, Takeo",JP,JP
406259,"BAUEROCHSE, Stella",DE,DE
1303964,"DIMITRIU, Dan",US,US
417719,"HAGSTROM, Bengt",SE,SE
781590,"NISTOR, Mihail",RO,RO
877592,"SUGIMOTO, Hiroaki",JP,JP
469320,"KORNER, Erik",AT,AT
679997,"COWELL, Tristan",GB,GB
1230664,"TEO, Tee Hui",MY,SG
358661,"PUTZ, Hermann-Josef",DE,DE
1613451,"WELCH, David, Allen",US,US
753521,"HUS, Olivier, J-m.",FR,GB
570929,"MOTTI, HervE-Flavien",FR,FR
1594631,"MUMENTHALER, Daniel",US,US
1859015,"MOSCH, Heinrich",**,DE
990022,"USHIJIMA, Ryuji",JP,JP
904248,"KONDO, Hisaki",JP,JP
745983,"BROWN, Edward Allen, Jr.",US,US
705693,"MARRIOTT, Alun",GB,GB
532143,"RODRIGUEZ BAREA, Franscisco J.",ES,ES
1555729,"DECOSTER, Mark, A.",UA,US
1223827,"AHLSTROM, Henrik",SE,SE
1562006,"WATSON, Robert B.",US,US
46528,"MAGERRAMOV, Abel Mamedali ogli",AZ,AZ
867054,"IWAI, Kazuya",JP,JP
1060169,TOMONO Takao,JP,JP
233697,"HAACK, Reimer",DE,DE
1478045,"WOODS, Carl",US,US
1842964,"PHIELIPP, Mariano J.",AR,US
979090,"OHTSUKA, Kenichi",JP,JP
176892,"POGGETTI, Pietro",IT,DE
448256,"GANSEN, GUnter",DE,DE
1447912,"CUI, Jingrong",US,US
1260787,"OSHLACK, Benjamin",US,US
1079008,"YOON, Bo Hyun",KR,KR
1244755,"SEYMOUR, David, Jackson",US,US
1269083,"WALLSCHAEGER, Gunnar, J.",US,US
1591927,"SONG, Zhengzhe",US,US
1151558,"VAN GENDEREN, Dirk, Hendrik",NL,NL
1524094,"KYLE, Wayne",ZA,US
669837,"TALMER, David, John",GB,GB
142027,"DONG, Yuting",CN,CN
552850,"MAIRE, Guy",FR,FR
118716,"DONG, Qiang",CN,CN
1214822,"ROOS, Arne",SE,SE
1853238,"ORCUTT, Kelly, Davis",US,US
1643567,"HUNSBERGER, Gary P.",US,US
486072,"KUMAR, Prasanna",IN,DE
186324,"SCHNIEDERS, Horst",DE,DE
37130,"MITCHELL, Geraldine, Margaret",AU,AU
899019,"KOJIMA, Tsuyoshi",JP,JP
173559,"FINK, Hans-Peter",DE,DE
1410108,"ERRICO, Michael, J.",US,US
73150,"HITT, Mary",CA,CA
1702744,"PORTER, Dan C.",US,US
154977,"LIU, Hongming",CN,CN
1250751,"ROBINS, Morris, J.",US,US
1320008,"OAKLEY, Thomas, Franklin",US,US
1131080,"JUNG, Guem Young",KR,KR
223636,"BRUUN, Poul",DK,DK
1742553,"LESSARD, Etienne",CA,US
547021,"ITARANTA, Joonas",FI,FI
653470,"ROSS, Stuart, Ashenhurst",GB,GB
1814542,"CLIPPER, David A.",US,US
894646,"OHTA, Toshio",JP,JP
666944,"AARILA, Jani",FI,FI
1334834,"OLIVER, Juan, A.",US,US
70745,"BAJORATH, Jurgen",US,US
958750,"FUKUSAWA, Mitsuyasu",JP,JP
955749,"SHIRANAGA, Masaya",JP,JP
677594,"WILLIAMSON, Douglas, Stewart",GB,GB
288745,"PARSONS, Dave",GB,GB
1653615,"JIAO, Guan-sheng",CN,US
1518580,"MORTEZA, Gharib",US,US
1472514,"GUO, John",US,US
1697066,"KELLY, Bryan",US,US
415290,"PENG, Stanford Lee-Yu",US,US
347172,"ESTNER, Stefan",DE,DE
1189965,"ANASHIN, Dmitry Viktorovich",RU,RU
1591000,"VALDEZ, Patricia",US,US
620538,"BRIGGS, David, Harvey",GB,GB
1704550,"CHANG, Bong-kyu",KR,US
833562,"CORSI, Carlo",IT,IT
1709978,"SOUCHELNYTSKIY, Serhiy",SE,SE
375849,"VAN MARION, Remko",AT,AT
158883,"GUILLEN NIETO, Gerardo Enrique",CU,CU
1665254,"HAWKINS, Raymond, David",US,US
1082462,"KIM, Han-Sik",KR,KR
64040,"SAXENA, Praveen, K.",CA,CA
739596,"TAULLEE, Jacques",FR,FR
275931,"BREHM, Peter",DE,DE
1760348,"HANSON, Susan, Kloek",US,US
264212,"WACHTER, Anton",DE,DE
464872,"ORTOLANI, Silvia",IT,IT
214656,"FRANZKY, Renata",DE,DE
1505148,"SINGAM SETTY, Radha Krishna",IN,IN
436803,"DECROIX, Claude",FR,FR
1295933,"ROGERS, W., Clark",US,US
1249705,"DOLGOFF, Eugene",US,US
1173001,"POT, Michael, Jouhannes",NZ,NZ
1173442,"SWARBRICK, Alan, Gary",NZ,NZ
