,CEO,openn_m5u,consc_m5u,extra_m5u,agree_m5u,neuro_m5u,openness,conscientiousness,extraversion,agreeableness,emotional_stability
0,andrew_gould,4.0689549446106,4.84521579742432,4.05928134918213,3.75122332572937,3.98062181472778,6.63,5.4,5.43,4.65,6.57
1,bob_mcdonald,4.74969959259033,5.13008975982666,4.03423929214478,3.56209993362427,3.69999289512634,7.11,6.97,6.29,6.44,7.7
2,bob_eckert,5.9753532409668,5.1236515045166,6.63243675231934,6.11691999435425,1.70358860492706,6.74,6.51,5.81,6.2,7.28
3,ari_bousbib,4.57520627975464,4.89984464645386,4.82576417922974,4.07161951065063,3.78322720527649,7.48,6.38,5.42,5.15,7.45
4,barry_diller,4.98548364639282,5.18963289260864,5.52325057983398,4.08749532699585,2.97543239593506,5.67,4.93,5.84,5.94,5.09
5,alan_mulally,5.0796914100647,5.69545793533325,6.07101345062256,4.40486097335815,2.01243448257446,6.6,6.46,6.17,6.66,6.68
6,bob_stevens,5.30535364151001,5.94226932525635,3.96813821792603,3.73559355735779,3.17694759368896,7.53,6.14,5.5,5.0,6.71
7,arnold_donald,4.63837432861328,5.57705020904541,4.23578500747681,4.13292741775513,3.00732707977295,6.96,5.93,6.8,6.26,7.48
8,alan_boeckmann,4.34675550460815,6.05393075942993,3.6741054058075,5.13657379150391,3.61580300331116,7.06,7.13,5.9,6.58,7.38
9,bill_sullivan,4.81081867218018,5.07488298416138,5.46802949905396,4.33491039276123,3.27852153778076,7.86,7.27,5.39,5.58,7.72
10,bob_greifeld,4.63938188552856,5.27264165878296,5.21546840667725,3.97501182556152,3.26530742645264,6.8,6.38,7.05,6.99,7.45
11,bill_klesse,3.63977146148682,4.63988876342773,3.72183585166931,3.04281973838806,4.39225387573242,6.47,5.67,6.6,5.68,7.03
12,aldo_zucaro,4.43691444396973,5.22940921783447,4.80959701538086,3.72680401802063,3.34871125221252,7.24,6.28,5.88,5.9,7.39
13,alan_miller,4.93324565887451,5.43206071853638,5.86229658126831,4.04875183105469,3.5525951385498,6.78,6.11,6.85,6.38,6.88
14,bob_toll,4.44198751449585,5.21749210357666,4.10806703567505,3.40804409980774,3.7545428276062,6.28,5.7,6.75,5.82,7.54
15,brian_jellison,4.60828113555908,4.98136234283447,5.03264904022217,4.15627193450928,3.50198578834534,6.72,5.71,5.64,5.95,6.69
16,bob_bruggeworth,4.61694574356079,4.78258419036865,5.29546689987183,4.72562837600708,3.05629467964172,6.58,6.48,6.53,6.83,7.69
17,anders_gustafsson,4.80425548553467,5.12014102935791,5.27205181121826,4.77704191207886,3.05716347694397,6.95,6.37,5.64,6.14,6.95
18,al_neupaver,4.15574979782104,4.99203443527222,4.76284027099609,3.42193484306335,3.54834961891174,6.95,6.55,5.93,6.25,7.12
19,brian_goldner,5.06145191192627,5.10009908676147,4.98115348815918,5.07232189178467,2.9936945438385,7.27,7.22,6.49,7.12,8.04
20,bob_sulentic,4.72663450241089,5.22880363464355,5.09223651885986,4.23956441879272,3.58678913116455,7.29,6.81,5.99,6.02,7.64
21,benson_smith,5.21388387680054,5.48894596099854,5.36533832550049,4.82684469223022,3.0338351726532,7.54,6.38,4.92,5.22,6.84
22,alan_wilson,4.85715913772583,5.6705436706543,5.18032598495483,4.53339433670044,3.05247902870178,6.6,6.01,6.37,6.7,6.39
