,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,location_id,assigneeid,time
2949818,4930071,4930071-2,0,IN,G06N,p574md37u7wi,83131.0,1987/6/19
6599851,6757665,6757665-3,0,IN,G06N,w6gkusdabifu,299185.0,1999/9/28
6942266,6904421,6735578-1,0,IN,G06N,gby60ol0g4jd,132030.0,2001/4/26
7466941,7127435,6735578-1,0,IN,G06N,gby60ol0g4jd,132030.0,2001/7/3
7059241,6954744,6735578-1,0,IN,G06N,gby60ol0g4jd,132030.0,2001/8/29
7059242,6954744,6735578-2,0,IN,G06N,gby60ol0g4jd,132030.0,2001/8/29
7917661,7313550,7313550-7,0,IN,G06N,lnfy7ldpzvmk,330377.0,2002/3/27
7917660,7313550,7313550-6,0,IN,G06N,lnfy7ldpzvmk,330377.0,2002/3/27
7917658,7313550,7313550-4,0,IN,G06N,lnfy7ldpzvmk,330377.0,2002/3/27
7917657,7313550,7313550-3,0,IN,G06N,ro1y18ekr3rb,330377.0,2002/3/27
7917656,7313550,7313550-2,0,IN,G06N,ro1y18ekr3rb,330377.0,2002/3/27
7917659,7313550,7313550-5,0,IN,G06N,lnfy7ldpzvmk,330377.0,2002/3/27
7917655,7313550,5401843-3,0,IN,G06N,ro1y18ekr3rb,330377.0,2002/3/27
7392707,7096437,7096437-3,0,IN,G06N,6k3pgvchllz8,266420.0,2003/10/7
7392705,7096437,5242864-3,0,IN,G06N,6k3pgvchllz8,266420.0,2003/10/7
8294803,7467123,7467123-2,0,IN,G06N,dp903o1s35c1,403562.0,2004/11/1
8294802,7467123,7467123-1,0,IN,G06N,dp903o1s35c1,403562.0,2004/11/1
7400762,7099852,6757665-3,0,IN,G06N,w6gkusdabifu,223101.0,2004/4/15
8272130,7457788,7457788-1,0,IN,G06N,6jpxcd9ubwy3,143426.0,2004/6/10
8167916,7415683,5242864-3,0,IN,G06N,6k3pgvchllz8,266420.0,2005/12/15
8167918,7415683,7096437-3,0,IN,G06N,6k3pgvchllz8,266420.0,2005/12/15
8778772,7660774,7233932-2,0,IN,G06N,gby60ol0g4jd,132030.0,2005/6/24
8778771,7660774,7233932-1,0,IN,G06N,gby60ol0g4jd,132030.0,2005/6/24
8212896,7433854,6938000-1,0,IN,G06N,tl3v8038ws3b,132030.0,2005/7/21
8102893,7389278,6757665-3,0,IN,G06N,kygslodbrhqn,299185.0,2005/7/27
8964956,7734451,7734451-4,0,IN,G06N,gby60ol0g4jd,132030.0,2006/10/18
8770353,7657498,7657498-1,0,IN,G06N,gby60ol0g4jd,355180.0,2006/11/15
8918734,7716151,7546222-2,0,IN,G06N,gby60ol0g4jd,319706.0,2006/2/13
8918735,7716151,7716151-1,0,IN,G06N,gby60ol0g4jd,319706.0,2006/2/13
10499926,8332347,8200589-3,0,IN,G06N,ro1y18ekr3rb,93601.0,2006/7/28
10499925,8332347,8200589-2,0,IN,G06N,ro1y18ekr3rb,93601.0,2006/7/28
10499924,8332347,6636484-1,0,IN,G06N,ro1y18ekr3rb,93601.0,2006/7/28
9136646,7801836,7349919-5,0,IN,G06N,dp903o1s35c1,319706.0,2006/9/28
9514365,7949622,7949622-1,0,IN,G06N,gby60ol0g4jd,274630.0,2007/12/13
10909561,8489530,8489530-4,0,IN,G06N,9kbsjsm173vu,319706.0,2007/12/3
10909558,8489530,7349919-5,0,IN,G06N,24n934aekjoa,319706.0,2007/12/3
10909559,8489530,8489530-1,0,IN,G06N,zfiwmyvis0p6,319706.0,2007/12/3
10909560,8489530,8489530-2,0,IN,G06N,gby60ol0g4jd,319706.0,2007/12/3
9889232,8095488,7120728-6,0,IN,G06N,ro1y18ekr3rb,173867.0,2007/12/31
9889230,8095488,6477540-3,0,IN,G06N,ro1y18ekr3rb,173867.0,2007/12/31
9889233,8095488,8095488-4,0,IN,G06N,ro1y18ekr3rb,173867.0,2007/12/31
12096296,8938218,8761376-1,0,IN,G06N,qtzuc79bhw39,190103.0,2007/6/6
10328669,8266090,7831526-2,0,IN,G06N,vphflsvwiifb,281706.0,2007/8/31
10328670,8266090,7831526-3,0,IN,G06N,dp903o1s35c1,281706.0,2007/8/31
10328671,8266090,7831526-4,0,IN,G06N,dp903o1s35c1,281706.0,2007/8/31
9787878,8055596,7979366-2,0,IN,G06N,gby60ol0g4jd,353793.0,2008/1/8
9590332,7979366,7979366-1,0,IN,G06N,gby60ol0g4jd,353793.0,2008/1/8
10583987,8364614,7979366-2,0,IN,G06N,gby60ol0g4jd,353793.0,2008/1/8
10583986,8364614,7979366-1,0,IN,G06N,gby60ol0g4jd,353793.0,2008/1/8
9590333,7979366,7979366-2,0,IN,G06N,gby60ol0g4jd,353793.0,2008/1/8
9787877,8055596,7979366-1,0,IN,G06N,gby60ol0g4jd,353793.0,2008/1/8
9969781,8126891,7509234-4,0,IN,G06N,gby60ol0g4jd,268657.0,2008/10/21
9969783,8126891,8126891-2,0,IN,G06N,gby60ol0g4jd,268657.0,2008/10/21
11814914,8832599,8832599-1,0,IN,G06N,gby60ol0g4jd,268657.0,2008/10/3
10433981,8306932,8306932-2,0,IN,G06N,u3nw8bgtxuas,319706.0,2008/4/8
10433982,8306932,8306932-3,0,IN,G06N,6k3pgvchllz8,319706.0,2008/4/8
10433980,8306932,7958540-1,0,IN,G06N,rx0fy8hj0lx1,319706.0,2008/4/8
11582967,8744991,8457056-3,0,IN,G06N,ro1y18ekr3rb,319706.0,2008/6/25
11582969,8744991,8744991-3,0,IN,G06N,ro1y18ekr3rb,319706.0,2008/6/25
11582968,8744991,8744991-2,0,IN,G06N,6k3pgvchllz8,319706.0,2008/6/25
9956892,8121966,7277984-3,0,IN,G06N,24n934aekjoa,189347.0,2008/6/5
